n,seed,iteration,elapsed_seconds,best_so_far,active_components
30,3,43,965.5,383.82,133
30,3,44,983.1,377.0,143
30,3,45,1008.0,377.0,168
30,3,46,1034.1,377.0,153
30,3,47,1051.4,377.0,136
30,3,48,1065.1,377.0,129
30,3,49,1079.1,377.0,132
30,3,50,1104.0,377.0,163
30,3,51,1128.7,377.0,172
30,3,52,1142.1,377.0,132
30,3,53,1157.2,377.0,133
30,3,54,1183.4,377.0,158
30,3,55,1208.1,377.0,161
30,3,56,1221.4,377.0,130
30,3,57,1246.8,377.0,150
30,3,58,1271.8,372.94,151
30,3,59,1293.8,372.94,153
30,3,60,1319.3,372.94,149
30,3,61,1344.5,372.94,160
30,3,62,1720.8,372.94,140
30,3,63,1738.3,372.94,132
30,3,64,1763.1,372.94,167
30,3,65,1789.3,372.94,147
30,3,66,1802.3,372.94,136
40,1,1,27.7,475.64,69
40,1,2,56.2,475.64,133
40,1,3,95.6,469.59,176
40,1,4,138.6,469.59,217
40,1,5,179.6,469.59,214
40,1,6,221.5,469.59,182
40,1,7,262.1,469.59,180
40,1,8,302.7,469.59,180
40,1,9,346.8,469.59,190
40,1,10,388.5,469.59,178
40,1,11,430.6,469.59,171
40,1,12,470.8,469.59,163
40,1,13,512.0,469.59,186
40,1,14,552.4,468.76,188
40,1,15,592.6,468.76,175
40,1,16,629.6,462.49,176
40,1,17,672.3,462.49,212
40,1,18,713.3,462.49,213
40,1,19,754.0,438.33,162
40,1,20,794.9,438.33,194
40,1,21,836.3,438.33,208
40,1,22,876.8,438.33,180
40,1,23,918.4,438.33,188
40,1,24,960.1,438.33,224
40,1,25,1001.8,438.33,168
40,1,26,1042.3,438.33,160
40,1,27,1088.0,438.33,201
40,1,28,1130.1,438.33,209
40,1,29,1170.8,438.33,175
40,1,30,1213.0,438.33,171
40,1,31,1255.5,438.33,167
40,1,32,1300.9,438.33,188
40,1,33,1342.9,438.33,186
40,1,34,1385.1,438.33,180
40,1,35,1428.6,438.33,172
40,1,36,1468.7,438.33,178
40,1,37,1509.0,438.33,186
40,1,38,1552.5,438.33,226
40,1,39,1593.1,438.33,181
40,1,40,1634.2,438.33,174
40,1,41,1675.2,438.33,184
40,1,42,1715.5,438.33,182
40,1,43,1758.4,438.33,178
40,1,44,1800.7,438.33,172
40,2,1,27.1,527.99,69
40,2,2,54.7,521.9,135
40,2,3,96.5,521.9,177
40,2,4,137.6,503.04,175
40,2,5,179.4,503.04,177
40,2,6,224.9,503.04,188
40,2,7,269.3,503.04,176
40,2,8,310.0,480.72,187
40,2,9,350.9,480.72,180
40,2,10,391.7,480.72,184
40,2,11,433.2,480.72,177
40,2,12,474.6,479.31,179
40,2,13,515.7,479.31,186
40,2,14,556.6,479.31,183
40,2,15,598.0,479.31,165
40,2,16,639.0,479.31,182
40,2,17,679.4,479.31,181
40,2,18,720.7,479.31,183
40,2,19,767.2,479.31,225
40,2,20,809.1,479.31,173
40,2,21,850.9,479.31,173
40,2,22,891.3,479.31,172
40,2,23,932.3,479.31,168
40,2,24,972.6,479.31,172
40,2,25,1015.4,479.31,177
40,2,26,1055.8,479.31,176
40,2,27,1096.6,479.31,180
40,2,28,1138.3,479.31,176
40,2,29,1178.8,479.31,178
40,2,30,1222.1,479.31,187
40,2,31,1263.8,479.31,185
40,2,32,1305.1,479.31,177
40,2,33,1346.7,479.31,172
40,2,34,1391.4,479.31,205
40,2,35,1434.4,479.31,179
40,2,36,1477.2,479.31,172
40,2,37,1518.5,479.31,173
40,2,38,1562.1,479.31,191
40,2,39,1604.7,479.31,178
40,2,40,1645.5,479.31,159
40,2,41,1686.1,479.31,164
40,2,42,1727.9,479.31,185
40,2,43,1770.4,479.31,184
40,2,44,1807.4,479.31,188
